daily_screen_time_hours,num_social_media_platforms,late_night_usage,gpa,missed_classes_per_month,sleep_hours,sleep_disturbances,physical_activity_hours,stress_level,social_interaction_quality,addiction_label
14.1,1,1,4.18,3,5.9,1,1.6,10,3,Severe
13.1,5,0,6.37,3,6.9,1,1.6,1,1,Moderate
3.8,6,0,7.64,5,8.7,0,0.7,3,2,Low
14.4,5,0,7.59,9,6.6,1,1.9,9,3,Severe
9.1,6,0,8.76,9,7.5,1,6.6,5,4,Low
13.1,6,0,7.93,9,6.0,0,8.8,10,1,High
14.4,7,1,9.95,5,6.8,0,8.1,2,5,Moderate
5.8,4,0,5.7,11,3.4,1,6.9,7,2,Moderate
2.7,6,0,6.15,0,4.5,1,1.1,2,4,Low
4.4,3,0,6.3,13,5.2,0,2.9,4,3,Low
7.4,6,0,6.79,13,5.8,1,3.1,7,1,Moderate
13.3,6,1,9.02,8,3.3,1,2.5,4,2,High
13.9,6,1,5.41,1,3.8,1,5.2,7,1,Severe
1.1,7,1,8.66,4,4.7,1,5.4,7,5,Low
8.7,7,1,6.43,8,8.8,0,3.6,1,3,Low
7.3,1,0,7.61,3,5.0,0,3.5,6,1,Low
4.3,7,1,7.8,10,5.9,0,8.3,9,4,Low
2.8,3,0,6.24,2,4.2,1,7.9,2,3,Low
6.1,3,0,7.08,14,6.7,1,3.1,3,4,Low
15.1,7,0,6.48,6,4.7,1,9.1,10,1,Severe
5.8,5,0,4.41,5,4.2,1,9.5,5,3,Low
8.8,4,0,6.62,7,6.1,1,3.3,9,4,Moderate
11.5,7,1,4.58,2,3.0,0,3.5,4,5,High
6.5,6,1,6.43,4,3.0,1,5.1,1,5,Low
15.6,2,1,7.56,9,4.3,1,9.4,4,1,Severe
15.4,4,1,7.48,3,3.2,0,8.8,6,3,Severe
4.8,4,0,7.98,14,3.6,1,1.0,5,2,Low
8.5,3,1,4.57,12,5.0,0,3.9,1,3,Moderate
5.5,4,0,7.91,3,7.8,0,5.5,4,5,Low
5.3,7,1,5.87,3,6.4,0,5.0,6,4,Low
1.6,6,0,6.39,9,6.1,0,1.9,10,2,Low
10.1,6,0,9.15,7,4.8,0,8.6,10,1,Moderate
8.5,1,1,4.05,5,8.6,1,6.8,4,2,Moderate
1.8,6,0,7.53,2,5.4,0,8.4,9,1,Low
5.2,6,0,7.59,9,3.5,0,8.6,5,2,Low
14.6,3,1,6.38,4,6.7,1,7.5,8,1,Severe
4.6,6,0,5.42,5,3.7,1,4.4,9,1,Low
3.2,1,1,5.41,4,5.1,0,6.1,10,2,Low
8.3,2,1,9.3,5,6.0,1,1.6,5,2,Moderate
15.8,7,1,6.65,7,8.2,1,6.7,6,1,Severe
4.6,3,0,5.99,6,6.0,0,1.8,1,5,Low
11.1,2,0,6.69,4,7.2,0,6.9,7,2,Moderate
12.4,3,0,8.02,9,9.0,1,2.3,4,3,Moderate
4.6,5,1,4.87,5,3.8,0,1.2,2,4,Low
11.9,4,0,6.7,13,4.6,0,1.7,5,1,High
6.5,5,1,7.53,3,5.4,1,0.0,3,1,Low
10.5,6,1,9.69,11,5.5,0,7.2,6,4,Moderate
10.5,2,0,5.52,8,5.5,0,7.3,8,5,High
9.0,6,1,6.16,12,8.4,0,5.1,7,4,Moderate
2.4,4,0,6.28,3,7.3,0,1.6,3,2,Low
13.5,3,0,7.63,0,6.6,0,0.8,8,4,High
5.8,4,0,6.14,6,4.9,1,0.2,2,1,Low
3.8,1,0,7.2,6,7.9,1,1.7,10,4,Low
1.6,4,0,8.69,3,8.7,0,8.9,9,3,Low
9.9,1,1,8.23,12,7.9,1,2.4,4,2,Moderate
11.2,4,1,6.68,13,3.0,0,3.5,1,4,High
1.2,7,1,9.19,2,6.8,0,1.1,8,1,Low
8.7,1,0,7.35,7,3.3,0,2.2,7,2,Moderate
4.4,2,0,7.24,4,4.5,0,5.2,5,1,Low
10.7,6,0,4.21,9,3.4,0,6.1,10,5,Severe
3.6,6,1,9.92,6,6.6,1,2.5,5,3,Low
11.4,5,0,4.74,3,7.1,1,0.6,7,5,High
6.8,6,1,5.39,3,3.7,0,3.9,5,3,Moderate
15.1,3,1,4.31,7,5.3,1,2.3,8,4,Severe
3.1,7,0,7.84,13,5.7,0,2.2,6,2,Low
6.1,4,0,5.35,7,5.2,1,9.6,5,4,Low
2.7,5,1,5.08,1,3.7,0,6.2,9,3,Low
14.9,3,0,4.53,13,5.5,1,5.6,2,3,Severe
14.2,3,1,4.62,1,7.5,0,4.2,1,3,High
4.9,1,0,7.51,2,3.4,0,4.3,8,1,Low
10.9,6,0,8.13,14,3.5,1,5.4,3,2,Moderate
13.3,2,1,6.38,11,5.1,1,7.0,7,4,Severe
9.3,2,0,6.88,11,8.7,0,7.0,10,4,Moderate
8.9,5,1,8.12,2,7.0,1,1.7,8,5,Moderate
4.6,7,0,4.1,0,7.1,0,5.0,6,3,Low
2.4,2,1,5.94,14,5.2,1,4.1,10,3,Moderate
14.5,4,1,9.84,13,6.6,1,8.7,9,3,Severe
14.5,2,0,7.48,2,3.1,0,6.3,7,4,High
10.5,5,1,5.53,5,6.8,1,5.3,10,5,High
6.1,2,0,7.13,7,8.5,1,1.2,5,1,Low
6.2,4,0,6.06,12,6.7,0,6.1,8,2,Moderate
11.9,1,0,7.19,11,8.2,1,1.2,2,1,Moderate
14.5,7,1,4.75,13,7.3,0,3.4,7,4,Severe
14.3,5,1,4.8,9,3.7,0,1.4,4,3,Severe
12.7,1,0,4.86,5,8.4,0,6.9,9,2,High
10.6,1,0,9.64,4,3.4,0,2.1,1,4,Moderate
2.3,1,1,8.4,14,6.2,0,3.9,7,4,Low
3.4,3,0,4.97,3,3.9,1,9.0,6,4,Low
14.5,7,0,5.13,2,3.1,0,2.0,8,2,Severe
10.1,6,1,8.38,12,5.5,0,5.1,5,2,Moderate
1.1,7,0,4.94,3,4.8,1,4.2,1,5,Low
2.5,3,1,5.41,13,5.9,1,0.2,1,5,Low
11.0,6,0,9.78,6,6.5,1,7.9,9,1,Moderate
1.1,7,1,5.53,0,3.3,0,0.7,10,2,Low
3.4,1,0,7.97,6,3.7,0,4.7,6,2,Low
9.2,5,0,9.87,0,6.4,0,5.6,10,2,Low
11.4,6,1,6.25,1,5.1,1,6.3,5,5,Moderate
10.8,4,0,4.11,14,7.4,0,6.9,1,4,Moderate
4.4,4,1,5.46,3,6.9,1,2.5,6,3,Low
11.7,2,0,8.99,0,8.1,0,0.1,6,5,Moderate
4.6,6,1,9.19,10,7.2,1,7.2,3,2,Low
5.9,5,1,8.61,11,5.6,0,5.4,8,5,Moderate
12.2,3,1,4.68,10,7.0,0,8.4,1,1,Moderate
10.7,1,1,8.77,14,4.7,0,8.2,1,2,Moderate
13.7,2,0,9.51,10,4.8,1,8.4,6,1,High
10.9,4,0,7.6,8,7.7,1,4.9,10,2,High
9.5,3,1,9.65,11,5.7,0,3.3,1,5,Moderate
2.4,3,1,8.96,5,7.8,0,7.9,6,4,Low
6.5,1,1,8.0,12,7.9,0,4.5,1,3,Low
5.0,6,0,7.46,0,8.1,1,1.8,6,1,Low
4.7,4,0,6.09,0,8.5,0,8.5,3,5,Low
15.6,5,0,4.96,5,5.6,0,8.8,8,4,Severe
6.9,3,0,7.63,3,4.9,0,4.7,6,5,Low
14.4,1,1,5.91,3,6.5,0,0.8,1,1,High
10.5,5,1,9.2,14,5.2,1,3.9,5,3,High
12.9,6,1,9.96,10,6.6,1,8.0,8,5,High
8.5,4,0,8.51,14,7.2,0,9.0,3,2,Low
9.7,6,0,4.54,5,7.1,0,2.0,6,4,Moderate
8.4,3,0,5.73,14,5.2,1,0.7,5,5,Moderate
3.9,5,1,4.65,13,4.0,1,8.8,6,4,Moderate
11.8,5,1,7.9,11,5.6,0,3.9,10,2,Severe
5.2,5,0,8.59,10,3.9,1,5.4,1,3,Low
1.4,3,1,9.55,6,8.3,1,9.7,7,3,Low
10.7,3,0,6.63,8,5.1,0,0.7,9,2,High
3.7,6,0,9.41,9,3.9,1,6.5,2,4,Low
15.1,2,1,9.27,4,3.2,1,0.7,10,5,Severe
15.3,6,0,5.9,8,6.9,0,3.8,5,2,High
14.7,4,1,9.21,3,6.8,0,8.0,10,1,High
6.6,1,0,6.25,12,5.0,1,4.3,4,4,Low
1.2,5,1,5.78,9,3.4,0,10.0,6,3,Low
14.9,2,1,7.89,1,5.5,1,5.6,6,2,High
7.4,1,1,5.97,2,4.9,0,3.2,2,3,Low
15.5,2,0,7.78,12,7.1,1,2.2,2,4,High
15.5,7,0,7.66,10,6.6,0,3.5,4,3,High
13.8,6,1,7.38,0,5.2,1,3.7,1,2,Moderate
5.4,3,1,6.28,13,4.3,1,0.7,9,4,High
6.8,5,0,7.29,13,8.9,1,3.7,7,1,Low
13.8,6,0,7.58,5,5.7,0,4.6,7,2,High
5.8,1,0,7.27,12,7.1,0,7.2,3,5,Low
3.5,7,1,6.67,5,3.8,1,6.6,3,2,Low
9.4,7,0,4.09,0,5.9,1,7.1,1,4,Low
15.0,7,0,7.52,10,3.2,0,0.1,3,2,Severe
11.4,1,1,5.01,12,6.0,0,2.2,3,1,High
9.6,1,0,7.86,2,8.8,0,6.6,4,1,Low
2.5,1,0,8.56,4,5.3,0,4.8,4,5,Low
10.2,1,0,7.0,2,3.2,0,0.1,3,3,Moderate
15.9,7,1,7.25,9,3.2,0,8.0,10,4,Severe
3.1,7,1,9.71,2,5.3,1,7.7,8,4,Low
8.8,2,1,9.08,13,4.0,0,5.5,8,3,High
14.2,6,1,9.49,9,3.1,1,0.7,1,1,High
12.1,5,1,8.88,2,7.5,0,7.7,7,1,Moderate
11.5,3,1,4.65,4,5.8,0,5.8,2,2,Moderate
11.5,7,1,4.89,12,4.7,1,7.8,1,5,High
6.4,3,0,7.16,4,8.4,1,7.5,3,5,Low
5.4,6,0,5.48,3,3.7,0,8.0,4,5,Low
13.1,6,1,6.86,0,8.7,1,5.2,6,2,Moderate
13.2,3,0,6.37,4,4.9,1,1.4,10,5,Severe
14.0,7,0,7.3,9,8.3,1,6.7,5,3,High
14.7,3,1,8.48,4,6.6,1,6.2,4,2,High
8.7,2,0,8.29,3,8.0,0,7.4,8,3,Low
8.5,4,0,7.13,5,8.9,1,1.7,4,2,Low
13.0,7,0,8.93,9,4.7,0,1.9,10,5,Severe
10.7,7,0,6.59,3,8.8,0,8.9,2,3,Low
11.5,5,0,9.38,13,5.3,0,7.5,3,3,Moderate
12.9,1,1,4.43,6,5.3,0,9.1,6,3,High
14.4,4,1,9.73,6,5.0,1,7.6,8,2,High
6.1,6,1,7.93,1,6.2,1,6.0,8,4,Low
6.6,7,0,6.28,2,3.9,0,6.5,9,5,Low
2.4,3,1,5.18,0,6.3,0,8.9,7,3,Low
9.7,4,0,6.88,7,6.3,0,5.8,2,4,Low
1.5,5,0,5.17,8,7.6,0,6.3,8,5,Low
8.0,6,0,5.0,3,8.0,1,1.6,7,5,Moderate
9.1,1,0,7.7,5,5.6,0,4.7,8,3,Moderate
5.3,1,1,7.14,8,4.8,1,7.2,3,3,Low
9.9,5,1,8.02,5,4.6,0,2.7,7,2,High
1.5,5,0,9.58,13,4.2,0,2.0,10,4,Low
1.6,3,1,7.19,11,3.3,0,3.1,9,4,Low
13.3,7,0,7.49,11,5.1,0,2.4,3,3,High
6.4,1,1,4.54,11,4.6,1,2.1,10,5,High
2.9,6,1,8.31,8,8.8,1,4.2,6,3,Low
8.8,4,0,6.4,14,6.3,1,9.1,2,5,Low
12.5,6,1,9.86,3,5.1,0,5.1,2,5,Moderate
4.2,2,0,8.94,7,6.5,0,1.9,5,3,Low
10.3,2,1,7.13,8,3.8,1,0.8,5,1,High
2.3,5,0,4.74,3,5.7,1,7.0,7,4,Low
1.8,3,0,9.16,4,6.8,0,3.8,2,5,Low
9.0,2,1,8.8,13,5.9,0,8.2,7,5,Moderate
9.1,1,1,5.11,7,5.4,1,6.6,5,1,Moderate
10.6,6,0,5.77,11,9.0,0,8.0,6,2,Moderate
11.9,6,1,8.76,9,8.3,0,2.7,8,1,High
15.6,5,1,5.11,13,6.7,1,6.9,10,1,Severe
8.7,7,0,9.51,5,6.4,0,2.6,4,5,Low
5.8,7,0,6.55,11,6.7,1,9.4,7,4,Low
12.9,4,1,4.52,6,4.2,0,6.4,6,1,Severe
5.1,5,0,8.89,2,5.4,1,3.2,10,2,Low
7.6,4,0,6.24,6,3.2,0,2.7,2,3,Low
2.2,7,0,7.16,11,5.9,1,1.9,8,1,Low
1.4,5,1,4.67,13,6.3,1,6.9,10,1,Low
15.4,5,1,4.02,7,4.4,1,2.2,9,2,Severe
13.5,5,0,7.83,9,8.8,1,6.0,5,4,Moderate
11.4,7,1,7.09,5,8.5,0,2.6,10,1,High
7.1,4,0,7.56,14,7.3,0,6.6,4,1,Low
3.6,4,1,8.76,9,6.2,1,8.1,6,4,Low
3.3,5,0,7.88,8,8.2,0,7.8,8,2,Low
4.8,2,0,5.05,12,3.8,0,7.6,3,1,Low
9.2,3,1,6.16,5,7.7,0,1.9,10,4,High
11.7,7,0,9.44,11,3.7,0,0.9,1,1,Moderate
10.9,3,1,8.62,8,7.8,0,7.0,4,3,Moderate
5.2,3,1,7.34,12,4.7,1,3.7,4,5,Low
15.3,4,0,5.53,3,8.3,1,4.3,1,3,Moderate
12.1,4,0,5.81,7,8.7,1,0.3,9,1,High
9.3,2,1,8.39,10,3.9,1,2.6,3,2,Moderate
10.2,3,0,9.11,3,5.8,0,0.3,5,5,Moderate
7.3,3,0,8.03,1,8.9,0,8.8,6,3,Low
4.7,5,0,8.86,9,5.9,1,2.4,8,4,Low
6.3,4,0,8.6,10,8.2,0,5.6,6,2,Low
12.4,3,0,4.9,8,6.5,0,0.4,3,3,High
1.2,6,1,6.54,4,5.3,1,6.7,6,4,Low
2.7,2,1,4.92,3,4.7,0,3.2,1,1,Low
1.7,6,0,5.41,1,4.2,1,9.0,4,4,Low
1.6,6,0,9.22,0,7.6,1,8.9,6,3,Low
13.8,7,0,6.84,10,5.3,0,3.3,7,3,Severe
11.6,7,1,7.21,6,6.1,0,9.0,10,1,High
8.1,2,0,5.07,5,6.0,1,10.0,3,4,Low
2.5,6,1,5.87,14,6.5,1,8.3,9,4,Low
8.4,3,1,5.38,14,8.2,0,8.4,7,1,Moderate
8.1,4,1,5.24,1,8.9,1,2.5,1,4,Low
3.6,2,0,7.83,7,5.4,1,5.8,2,1,Low
7.5,5,1,5.54,10,8.0,1,0.7,1,2,Moderate
7.0,6,0,7.79,3,7.6,0,0.9,9,3,Low
10.2,2,1,4.35,7,6.4,1,10.0,9,2,High
10.5,1,0,4.85,14,8.7,0,3.3,7,5,High
1.7,1,1,5.65,6,4.2,1,7.5,10,5,Low
6.6,7,0,7.58,4,3.7,0,8.1,3,5,Low
10.4,4,1,8.06,9,8.1,1,8.6,5,1,Moderate
8.5,3,0,6.66,9,5.6,0,10.0,4,4,Low
13.8,4,0,6.67,11,8.1,0,2.4,7,2,High
10.9,4,0,8.35,7,8.4,0,0.4,9,2,Moderate
3.4,4,0,4.09,13,3.4,1,4.1,2,2,Low
2.1,4,1,6.05,8,8.3,1,1.3,8,2,Low
10.6,5,1,8.91,4,5.7,1,0.2,9,5,High
1.4,5,0,7.62,9,6.1,0,3.6,10,2,Low
9.8,7,1,6.02,4,6.8,1,7.8,10,4,Moderate
15.1,2,0,9.43,1,8.6,0,5.7,9,5,High
9.6,1,0,8.64,4,3.1,1,3.1,10,2,Moderate
6.8,4,1,5.59,2,5.9,0,6.5,7,1,Low
10.6,7,0,7.87,6,7.1,0,2.3,9,3,Moderate
7.9,2,0,7.57,9,7.3,0,0.1,9,3,Moderate
9.2,1,1,6.41,4,7.2,1,7.6,3,3,Low
15.1,6,0,6.2,7,3.8,1,6.2,4,5,High
6.8,3,0,6.06,0,4.8,1,7.6,2,2,Low
15.4,5,0,7.7,2,5.2,0,0.4,10,5,Severe
14.6,6,0,6.65,2,7.8,0,8.4,3,4,Moderate
3.9,1,1,8.99,8,4.7,1,6.2,5,1,Low
2.0,6,1,8.02,4,4.3,1,5.6,5,1,Low
2.5,3,1,4.42,11,8.7,1,6.2,6,3,Low
1.3,7,0,7.84,8,3.1,0,8.6,7,3,Low
2.4,1,0,5.63,12,9.0,0,5.9,7,3,Low
11.2,6,1,7.56,8,7.1,0,5.8,1,2,Moderate
2.1,5,0,8.08,0,8.0,0,9.9,2,4,Low
5.8,5,0,5.38,1,4.8,0,7.6,9,4,Low
13.7,2,0,6.74,4,3.1,1,4.4,10,4,Severe
1.3,6,0,5.14,3,7.4,0,7.1,2,4,Low
13.2,4,1,4.31,14,8.0,0,3.9,6,3,Severe
5.2,6,1,6.27,9,7.4,0,2.3,1,1,Low
2.8,7,1,6.18,8,3.9,0,6.0,3,3,Low
11.5,1,0,9.97,6,7.5,0,9.3,2,4,Low
10.4,1,1,6.68,5,7.6,1,9.3,3,3,Moderate
14.2,7,1,6.0,6,7.0,0,3.4,5,4,High
12.0,6,0,7.48,0,7.6,0,5.3,10,5,Moderate
13.1,7,0,4.53,0,8.1,0,2.1,6,1,High
5.2,3,1,9.77,7,6.7,1,10.0,9,5,Low
3.7,7,1,7.81,12,3.5,1,9.8,10,2,Moderate
12.3,5,1,8.53,12,5.9,1,6.5,4,3,High
13.1,7,1,5.02,1,3.5,0,8.0,7,2,High
15.9,1,0,6.46,11,5.4,1,7.2,6,3,Severe
7.2,5,1,6.54,9,5.4,0,5.9,2,5,Low
6.6,1,1,8.93,10,3.4,0,0.5,10,4,High
12.6,2,0,4.01,8,5.1,1,4.5,8,4,Severe
6.1,4,1,5.81,6,3.7,0,6.7,7,3,Moderate
15.0,1,0,9.89,5,7.8,0,6.8,7,4,High
13.9,5,0,6.85,0,8.7,0,3.7,8,5,High
7.4,2,0,6.3,0,3.4,1,9.4,1,4,Low
12.3,1,1,4.72,1,8.7,0,1.7,1,5,Moderate
12.3,3,1,9.84,5,6.1,0,5.0,8,2,High
2.5,7,0,4.12,13,4.8,1,6.9,4,5,Low
14.5,4,1,8.42,5,3.5,0,7.0,5,1,High
8.6,1,1,8.61,1,6.0,0,6.5,8,1,Moderate
13.4,2,0,5.46,0,7.8,1,2.8,5,1,Moderate
5.8,3,0,8.03,9,7.2,0,1.6,10,3,Moderate
14.4,6,1,4.56,4,3.3,0,6.4,4,3,Severe
6.8,2,0,5.54,4,3.4,0,6.0,6,3,Low
1.2,7,1,8.73,1,5.4,0,1.8,5,5,Low
14.6,2,1,9.19,5,4.8,0,7.1,7,3,High
2.4,3,1,7.65,8,4.4,1,4.6,10,2,Low
5.8,2,1,7.04,1,4.7,1,6.7,7,1,Low
15.3,3,0,4.96,9,7.8,1,8.4,4,5,High
15.3,1,0,4.38,1,8.6,1,1.7,5,1,High
9.6,3,0,4.71,2,5.4,0,0.2,3,3,Moderate
10.5,3,0,5.36,12,8.4,0,7.8,4,5,Moderate
7.7,4,1,6.05,6,4.9,0,6.1,4,4,Moderate
5.4,3,1,6.29,5,5.9,0,7.0,3,2,Low
5.9,3,0,6.08,11,4.4,0,8.4,10,3,Moderate
11.1,6,1,5.43,7,6.8,1,8.0,5,3,Moderate
12.3,1,1,7.06,14,8.9,1,9.6,5,2,High
12.9,7,1,8.95,7,6.6,0,5.4,7,2,High
12.8,4,0,5.68,5,5.1,0,4.9,4,4,High
2.4,6,0,9.65,11,6.9,0,4.0,4,3,Low
8.4,5,0,9.24,10,3.7,1,1.5,9,3,Moderate
1.9,1,1,4.97,9,8.3,0,5.7,6,1,Low
9.2,1,0,8.72,2,6.0,0,2.8,4,5,Low
7.6,5,0,7.45,2,5.7,0,9.2,2,5,Low
14.3,7,0,7.4,14,6.5,1,5.8,6,1,High
6.3,3,0,6.35,0,6.7,0,5.9,2,5,Low
2.8,6,0,7.01,6,3.4,1,3.5,5,2,Low
3.1,2,0,6.38,4,7.1,1,0.5,6,5,Low
12.4,4,1,7.24,3,4.5,1,0.3,4,5,High
10.3,2,1,7.77,9,7.3,1,4.2,3,1,Moderate
2.5,5,0,8.05,14,7.9,1,0.8,7,4,Low
2.3,1,0,7.19,3,7.8,1,6.1,2,5,Low
11.5,7,1,8.33,13,6.3,0,8.8,6,5,High
2.1,1,1,4.85,3,6.1,0,8.8,4,4,Low
13.3,4,0,5.27,5,3.9,0,6.6,6,1,High
11.6,1,0,8.91,14,7.7,1,2.1,4,4,Moderate
2.2,1,0,5.94,7,4.6,0,8.6,4,1,Low
